Time (ms),ENC_POS_BHG2_Z_t=4680,DAC_BHG2_Z_t=4680,ENC_POS_BHG2_BF_VCM_t=4680,BHG2_ADC_PORT_BF_CAL_t=4680,GMP_OCA_PORT_20_t=4680,GMP_OCA_PORT_27_t=4680,GMP_OCA_PORT_28_t=4680
0.0,-5341.0,-149,948.3000000000001,976.5,1,-238.635651,-233.811676
0.125,-5341.0,-329,948.3000000000001,975.5999999999999,1,-244.478699,-228.107697
0.25,-5341.5,-149,948.3000000000001,976.8,1,-239.076752,-233.624329
0.375,-5342.0,-115,948.2,977.4,1,-238.24736,-227.874161
0.5,-5342.0,-316,948.1,976.5,1,-238.0457,-233.341583
0.625,-5342.5,-144,948.0,976.5,1,-238.107117,-234.209671
0.75,-5342.5,-328,947.9000000000001,976.5,1,-238.264496,-234.424667
0.875,-5343.0,-149,947.8000000000001,976.8,1,-238.441498,-234.353165
1.0,-5343.0,-328,947.7,976.5,1,-238.603668,-234.164627
1.125,-5343.5,-147,947.6,976.1999999999999,1,-232.069229,-240.60498
1.25,-5343.5,-326,947.5,976.5,1,-237.37291,-235.171295
1.375,-5344.0,-145,947.6,976.1999999999999,1,-231.664551,-240.730515
1.5,-5344.0,-324,947.6,977.0999999999999,1,-237.263367,-234.973267
1.625,-5344.0,-357,947.6,976.5,1,-238.277939,-240.464325
1.75,-5344.5,-156,947.7,976.1999999999999,1,-238.621841,-234.754608
1.875,-5344.5,-326,947.9000000000001,977.0999999999999,1,-238.64856,-240.343506
2.0,-5345.0,-143,948.0,976.8,1,-238.52356,-234.750687
2.125,-5345.0,-321,948.1,976.5,1,-238.32637,-240.460068
2.25,-5345.5,-142,948.2,976.8,1,-238.096878,-234.983337
2.375,-5346.0,-109,948.3000000000001,976.1999999999999,1,-237.856506,-234.133087
2.5,-5346.0,-310,948.4000000000001,977.0999999999999,1,-237.617798,-233.958649
2.625,-5346.5,-139,948.3000000000001,976.5,1,-237.388824,-234.088898
2.75,-5346.5,-323,948.3000000000001,977.0999999999999,1,-237.175079,-234.350006
2.875,-5347.0,-145,948.2,977.0999999999999,1,-230.313492,-241.325714
3.0,-5347.0,-326,948.1,976.1999999999999,1,-235.346909,-236.434769
3.125,-5347.5,-146,947.9000000000001,976.5,1,-229.427765,-242.505219
3.25,-5347.5,-326,947.8000000000001,976.5,1,-234.874664,-237.207947
3.375,-5348.0,-145,947.7,975.9,1,-229.126541,-243.097839
3.5,-5348.0,-325,947.6,976.8,1,-234.633148,-237.721344
